Receiver stopped|Receptor detenido
Testing audio output|Probando la salida de audio
Playing recorded audio|Reproduciendo audio grabado
Radio input stopped|Se detuvo la entrada de radio
Decoded audio is arriving|Está llegando audio decodificado
Decoder output is silent|La salida del decodificador está en silencio
Voice activity · waiting for decoded audio|Actividad de voz · esperando audio decodificado
Digital sync · waiting for voice|Sincronización digital · esperando voz
Analog input · check squelch and activity|Entrada analógica · revisa el silenciador y la actividad
Radio samples arriving · searching for sync|Llegan muestras de radio · buscando sincronización
Waiting for radio samples|Esperando muestras de radio
Waiting for decoded audio|Esperando audio decodificado
Decoded audio is arriving but the output device is not accepting it. Check the selected output.|Está llegando audio decodificado, pero el dispositivo de salida no lo acepta. Revisa la salida seleccionada.
Audio is reaching the player. Check Windows output and volume if you cannot hear it.|El audio está llegando al reproductor. Revisa la salida y el volumen de Windows si no lo escuchas.
Control-frame measurements are unavailable for this channel.|Las mediciones de tramas de control no están disponibles para este canal.
Save reception report|Guardar informe de recepción
Saves frequency, receiver settings and signal/audio measurements locally. Includes no keys, account credentials or recordings.|Guarda localmente la frecuencia, los ajustes del receptor y las mediciones de señal y audio. No incluye claves, credenciales de cuentas ni grabaciones.
Reception report saved|Informe de recepción guardado
Decoder performance|Rendimiento del decodificador
CPU decoding · %1 acceleration|Decodificación por CPU · aceleración %1
Graphics detected: %1|Gráficos detectados: %1
Unavailable|No disponible
CPU acceleration is selected automatically. GPU decoding is not implemented in this build. A graphics adapter does not unlock encrypted calls.|La aceleración por CPU se selecciona automáticamente. Esta versión no implementa decodificación por GPU. Un adaptador gráfico no desbloquea llamadas cifradas.
Saved profiles keep your supplied keys. A matching key ID selects an entry; it does not verify that the key is correct. Automatic selection is reevaluated when the call or key ID changes.|Los perfiles guardan las claves que proporcionas. Un ID coincidente selecciona una entrada; no verifica que la clave sea correcta. La selección automática se reevalúa cuando cambia la llamada o el ID de clave.
